"case","city.or.county","state","date","summary","fatalities","injured","total_victims","type","location","latitude","longitude","age_of_shooter","prior_signs_mental_health_issues","mental_health_details","weapons_obtained_legally","where_obtained","weapon_type","weapon_details","race","gender","sources","mental_health_sources","sources_additional_age","num_offenders","incident_type","situation_type","year"
"Springfield convenience store shooting","Springfield","Missouri","03/16/2020","Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",4,0,4,"Mass","Workplace",37.210432,-93.23686,"31","-","-","-","-","-","-","-","M","https://www.kiro7.com/news/trending/ive-been-shot-audio-paints-frantic-picture-shooting-that-killed-missouri-officer-3-others/THC32OGO75BR7FLTMXL4VUFYFE/; https://www.nytimes.com/2020/03/16/us/springfield-missouri-shooting.html; https://www.nytimes.com/2020/03/21/us/coronavirus-springfield-missouri-shooting.html","-","-",NA,NA,NA,"2020"
"Molson Coors shooting","Milwaukee","Wisconsin","02/26/2020","Anthony Ferrill, 51, an employee armed with two handguns, including one with a silencer, opened fire on the Milwaukee campus of the beer company, killing five people and then committing suicide. According to the Milwaukee Journal Sentinel, Ferrill ""had been involved in a long-running dispute with a co-worker that boiled over"" in the run-up to the attack.",5,0,5,"Mass","Workplace",43.044511,-87.962537,"51","-","-","-","-","semiautomatic handgun","-","Black","M","https://www.jsonline.com/story/news/local/2020/02/26/active-shooter-reported-molsoncoors-campus-unknown-injuries/4884282002/; https://www.cnn.com/2020/02/26/us/milwaukee-critical-incident/index.html; https://www.nytimes.com/2020/02/26/us/milwaukee-shooting-miller-coors.html; https://www.jsonline.com/story/news/politics/2020/02/28/milwaukee-molson-coors-shooting-gwen-moore-says-victim-old-friend/4902693002/","-","-",NA,NA,NA,"2020"
"Jersey City kosher market shooting","Jersey City","New Jersey","12/10/2019","David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by anti-Semitism and anti-law enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",4,3,7,"Spree","Other",40.707363,-74.083609,"-","-","-","-","-","-","-","Black","Male & Female","https://www.nytimes.com/2019/12/15/nyregion/jersey-city-shooting-terrorism.html; https://twitter.com/fbimostwanted/status/1205621200505802752?s=21; https://www.nytimes.com/2019/12/12/nyregion/jersey-city-shooting-domestic-terrorism.html?smid=nytcore-ios-share; https://www.nytimes.com/2019/12/11/nyregion/jersey-city-shooting.html","-","-",NA,NA,NA,"2019"
"Pensacola Naval base shooting","Pensacola","Florida","12/06/2019","Ahmed Mohammed al-Shamrani, A Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriff’s deputies.",3,8,11,"Mass","Military",30.364707,-87.288567,"-","-","-","-","-","semiautomatic handgun","-","-","M","https://www.washingtonpost.com/national-security/2019/12/06/naval-station-pensacola-active-shooter/; https://www.cnn.com/us/live-news/pensacola-naval-base-shooter/index.html","-","-",NA,NA,NA,"2019"
"Odessa-Midland shooting spree","Odessa","Texas","08/31/2019","Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",7,25,32,"Spree","Other",31.925974,-102.2796,"36","yes","""One friend of the family said the gunman had a long history of mental problems, trouble with the law and making racist comments,"" according to a report in the New York Times.","-","-","semiautomatic rifle","-","White","M","https://www.washingtonpost.com/politics/5-killed-21-injured-after-suspect-hijacked-a-mail-truck-in-odessa-texas/2019/08/31/f659da2c-cc3c-11e9-be05-f76ac4ec618c_story.html; https://www.chron.com/news/texas/article/Police-Multiple-gunshot-victims-from-Texas-14404855.php; https://www.nytimes.com/2019/09/01/us/death-toll-texas-shooting.html; https://www.washingtonpost.com/nation/2019/09/02/texas-gunman-who-killed-was-fired-job-day-rampage/; https://www.cnn.com/2019/09/02/us/west-texas-shooting-monday/index.html","https://www.nytimes.com/2019/09/02/us/texas-gunman-odessa-midland.html","-",NA,NA,NA,"2019"
"Dayton entertainment district shooting","Dayton","Ohio","08/04/2019","Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",9,27,36,"Mass","Other",39.757312,-84.184947,"24","-","-","Yes","-","semiautomatic rifle","AR-15-style rifle, with a 100-round capacity ammunition drum","White","M","https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.washingtonpost.com/nation/2019/08/04/nine-fatally-shot-dayton-including-suspect-day-after-mass-shooting-texas/; https://www.washingtonpost.com/national/police-chief-it-seems-to-defy-believability-that-dayton-shooter-would-kill-his-own-sister/2019/08/05/920a895c-b79e-11e9-b3b4-2bb69e8c4e39_story.html; https://www.cnn.com/2019/08/05/us/connor-betts-dayton-shooting-profile/index.html","-","-",NA,NA,NA,"2019"
"El Paso Walmart mass shooting","El Paso","Texas","08/03/2019","Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",22,26,48,"Mass","Workplace",31.771068,-106.375655,"21","-","-","Yes","-","semiautomatic rifle","AK-47-style rifle, per authorities","White","M","https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b","-","-",NA,NA,NA,"2019"
"Gilroy garlic festival shooting","Gilroy","California","07/28/2019","Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",3,12,15,"Mass","Other",36.997191,-121.584819,"19","TBD","-","Yes","Nevada, on July 9","semiautomatic rifle","AK-47-style rifle, per authorities","-","M","https://www.cbsnews.com/live-news/garlic-festival-mass-shooting-gilroy-california-victims-suspect-santino-william-legan-live-updates/; https://www.sfgate.com/news/article/Report-Suspect-ID-in-Gilroy-Garlic-Festival-14192736.php; https://www.nytimes.com/2019/07/29/us/gilroy-festival-shooting.html; https://www.latimes.com/california/story/2019-07-29/what-we-know-about-gilroy-garlic-festival-shooting-suspect-santino-william-legan; https://www.washingtonpost.com/nation/2019/07/29/multiple-people-reportedly-injured-shooting-california-food-festival/; https://heavy.com/news/2019/07/santino-william-legan/; https://www.cnn.com/2019/08/06/us/gilroy-festival-shooting/index.html","-","-",NA,NA,NA,"2019"
"Virginia Beach municipal building shooting","Virginia Beach","Virginia","05/31/2019","DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",12,4,16,"Mass","Workplace",36.75442,-76.060378,"40","TBD","-","Yes","-","2 handguns",".45-caliber handguns; noise suppressor (silencer); several high-capacity magazines","Black","M","https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_e15ea290-853f-11e9-aa50-93751bba3c3b.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_c8353020-84a1-11e9-aa12-d3bf967368c4.html; https://www.npr.org/2019/06/04/729413913/do-extended-magazines-facilitate-mass-shootings; https://www.nbcnews.com/news/us-news/virginia-beach-shooter-killed-12-using-silencer-high-capacity-magazine-n1012771","-","-",NA,NA,NA,"2019"
"Harry Pratt Co. warehouse shooting","Aurora","Illinois","02/15/2019","Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a co-worker the morning of the shooting that if he was fired he was going to kill employees and police.",5,6,11,"Mass","Workplace",41.753725,-88.331057,"45","Yes","(pending)","No","-","handgun","Smith & Wesson handgun, with a green sighting laser","Black","M","https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41; https://www.cnn.com/2019/02/17/us/aurora-shooting-termination/index.html; https://www.wsj.com/articles/companies-roll-out-gunshot-detectors-at-the-office-11550575801; https://www.cbsnews.com/news/gary-martin-aurora-illinois-plant-gunman-threatened-violence-if-fired-prosecutors-say/","-","-",NA,NA,NA,"2019"
