"state","date","year","fatalities","injured","total_victims"
"Alabama","04/07/2009","2009",4,0,4
"Alabama","03/10/2009","2009",10,6,16
"Alabama","01/29/2012","2012",5,0,5
"Alabama","12/28/2013","2013",3,5,8
"Alabama","07/06/2013","2013",0,4,4
"Alabama","06/08/2014","2014",1,4,5
"Alabama","01/12/2014","2014",0,5,5
"Alabama","12/25/2015","2015",0,4,4
"Alabama","11/16/2015","2015",3,1,4
"Alabama","05/24/2015","2015",1,3,4
"Alabama","04/18/2015","2015",0,5,5
"Alabama","12/25/2016","2016",0,4,4
"Alabama","12/23/2016","2016",1,3,4
"Alabama","10/15/2016","2016",0,5,5
"Alabama","08/28/2016","2016",0,5,5
"Alabama","08/27/2016","2016",1,6,7
"Alabama","08/20/2016","2016",5,0,5
"Alabama","05/11/2016","2016",1,4,5
"Alabama","05/06/2016","2016",1,3,4
"Alabama","04/23/2016","2016",3,1,4
"Alabama","04/19/2016","2016",1,4,5
"Alabama","04/16/2016","2016",0,4,4
"Alabama","04/09/2016","2016",0,4,4
"Alabama","03/19/2016","2016",2,2,4
"Alabama","02/20/2016","2016",1,3,4
"Alabama","02/14/2016","2016",0,5,5
"Alabama","12/24/2017","2017",1,4,5
"Alabama","12/23/2017","2017",0,4,4
"Alabama","10/22/2017","2017",2,7,9
"Alabama","09/09/2017","2017",0,4,4
"Alabama","07/03/2017","2017",3,1,4
"Alabama","05/28/2017","2017",0,12,12
"Alabama","04/15/2017","2017",0,6,6
"Alabama","11/25/2018","2018",2,2,4
"Alabama","10/08/2018","2018",0,4,4
"Alabama","09/09/2018","2018",1,4,5
"Alabama","09/02/2018","2018",0,7,7
"Alabama","07/08/2018","2018",0,6,6
"Alabama","07/07/2018","2018",3,2,5
"Alabama","06/19/2018","2018",0,4,4
"Alabama","06/11/2018","2018",0,4,4
"Alabama","04/01/2018","2018",1,4,5
"Alabama","03/07/2018","2018",2,2,4
"Alabama","01/14/2018","2018",1,4,5
"Alabama","01/14/2018","2018",0,4,4
"Alabama","01/07/2018","2018",1,5,6
"Alabama","01/01/2018","2018",1,3,4
"Alabama","12/20/2019","2019",2,2,4
"Alabama","12/04/2019","2019",2,2,4
"Alabama","11/24/2019","2019",1,4,5
"Alabama","09/02/2019","2019",5,0,5
"Alabama","09/01/2019","2019",0,7,7
"Alabama","08/30/2019","2019",0,9,9
"Alabama","08/15/2019","2019",2,3,5
"Alabama","05/18/2019","2019",1,8,9
"Alabama","04/28/2019","2019",0,4,4
"Alabama","03/15/2019","2019",2,4,6
"Alabama","02/22/2019","2019",2,2,4
"Alabama","01/27/2019","2019",0,5,5
"Alabama","09/26/2020","2020",1,3,4
"Alabama","08/22/2020","2020",1,3,4
"Alabama","08/15/2020","2020",2,3,5
"Alabama","08/08/2020","2020",1,5,6
"Alabama","08/01/2020","2020",0,4,4
"Alabama","07/03/2020","2020",1,3,4
"Alabama","06/28/2020","2020",0,7,7
"Alabama","06/21/2020","2020",0,4,4
"Alabama","06/04/2020","2020",7,0,7
"Alabama","05/24/2020","2020",3,1,4
"Alabama","05/11/2020","2020",0,4,4
"Alaska","09/14/2014","2014",0,6,6
"Alaska","11/30/2020","2020",4,0,4
"Alaska","10/07/2020","2020",1,4,5
"Alaska","04/08/2020","2020",0,4,4
"Arizona","05/16/2006","2006",4,0,4
"Arizona","02/21/2006","2006",5,0,5
"Arizona","08/28/2010","2010",5,1,6
"Arizona","01/08/2011","2011",6,13,19
"Arizona","06/02/2011","2011",5,1,6
"Arizona","06/02/2012","2012",4,0,4
"Arizona","05/02/2012","2012",4,0,4
"Arizona","11/10/2013","2013",1,3,4
"Arizona","10/06/2013","2013",0,4,4
"Arizona","05/12/2013","2013",0,5,5
"Arizona","04/14/2013","2013",2,4,6
"Arizona","10/26/2013","2013",4,0,4
"Arizona","04/05/2014","2014",1,3,4
"Arizona","10/25/2015","2015",1,4,5
"Arizona","10/09/2015","2015",1,3,4
"Arizona","05/12/2015","2015",5,0,5
"Arizona","04/27/2015","2015",2,2,4
"Arizona","04/16/2015","2015",5,0,5
"Arizona","03/18/2015","2015",1,5,6
"Arizona","07/04/2016","2016",2,6,8
"Arizona","06/05/2016","2016",2,4,6
"Arizona","02/23/2016","2016",5,0,5
"Arizona","01/30/2016","2016",3,5,8
"Arizona","02/23/2016","2016",4,0,4
"Arizona","10/15/2017","2017",1,3,4
"Arizona","10/07/2017","2017",0,4,4
"Arizona","10/05/2017","2017",4,0,4
"Arizona","07/18/2017","2017",0,4,4
"Arizona","05/21/2017","2017",0,4,4
"Arizona","11/11/2018","2018",3,1,4
"Arizona","07/29/2018","2018",1,4,5
"Arizona","05/30/2018","2018",6,0,6
"Arizona","11/01/2019","2019",0,5,5
"Arizona","04/11/2019","2019",3,2,5
"Arizona","03/24/2019","2019",0,7,7
