"state","year","population","pop_per100k"
"Alabama","1991",4099156,2439.53
"Alabama","1992",4154014,2407.31
"Alabama","1993",4214202,2372.93
"Alabama","1994",4260229,2347.29
"Alabama","1995",4296800,2327.31
"Alabama","1996",4331102,2308.88
"Alabama","1997",4367935,2289.41
"Alabama","1998",4404701,2270.3
"Alabama","1999",4430141,2257.26
"Alabama","2000",4452173,2246.09
"Alabama","2001",4467634,2238.32
"Alabama","2002",4480089,2232.1
"Alabama","2003",4503491,2220.5
"Alabama","2004",4530729,2207.15
"Alabama","2005",4569805,2188.28
"Alabama","2006",4628981,2160.3
"Alabama","2007",4672840,2140.03
"Alabama","2008",4718206,2119.45
"Alabama","2009",4757938,2101.75
"Alaska","1991",570193,17537.92
"Alaska","1992",588736,16985.54
"Alaska","1993",599432,16682.46
"Alaska","1994",603308,16575.28
"Alaska","1995",604412,16545.01
"Alaska","1996",608569,16431.99
"Alaska","1997",612968,16314.07
"Alaska","1998",619932,16130.8
"Alaska","1999",624779,16005.66
"Alaska","2000",627963,15924.51
"Alaska","2001",633714,15779.99
"Alaska","2002",642337,15568.15
"Alaska","2003",648414,15422.25
"Alaska","2004",659286,15167.92
"Alaska","2005",666946,14993.72
"Alaska","2006",675302,14808.19
"Alaska","2007",680300,14699.4
"Alaska","2008",687455,14546.41
"Alaska","2009",698895,14308.3
"Arizona","1991",3788576,2639.51
"Arizona","1992",3915740,2553.8
"Arizona","1993",4065440,2459.76
"Arizona","1994",4245089,2355.66
"Arizona","1995",4432499,2256.06
"Arizona","1996",4586940,2180.1
"Arizona","1997",4736990,2111.05
"Arizona","1998",4883342,2047.78
"Arizona","1999",5023823,1990.52
"Arizona","2000",5160586,1937.76
"Arizona","2001",5273477,1896.28
"Arizona","2002",5396255,1853.14
"Arizona","2003",5510364,1814.76
"Arizona","2004",5652404,1769.16
"Arizona","2005",5839077,1712.6
"Arizona","2006",6029141,1658.61
"Arizona","2007",6167681,1621.35
"Arizona","2008",6280362,1592.26
"Arizona","2009",6343154,1576.5
"Arkansas","1991",2383144,4196.14
"Arkansas","1992",2415984,4139.1
"Arkansas","1993",2456303,4071.16
"Arkansas","1994",2494019,4009.59
"Arkansas","1995",2535399,3944.15
"Arkansas","1996",2572109,3887.86
"Arkansas","1997",2601090,3844.54
"Arkansas","1998",2626289,3807.65
"Arkansas","1999",2651860,3770.94
"Arkansas","2000",2678588,3733.31
"Arkansas","2001",2691571,3715.3
"Arkansas","2002",2705927,3695.59
"Arkansas","2003",2724816,3669.97
"Arkansas","2004",2749686,3636.78
"Arkansas","2005",2781097,3595.7
"Arkansas","2006",2821761,3543.89
"Arkansas","2007",2848650,3510.43
"Arkansas","2008",2874554,3478.8
"Arkansas","2009",2896843,3452.03
"California","1991",30470736,328.18
"California","1992",30974659,322.84
"California","1993",31274928,319.74
"California","1994",31484435,317.62
"California","1995",31696582,315.49
"California","1996",32018834,312.32
"California","1997",32486010,307.82
"California","1998",32987675,303.14
"California","1999",33499204,298.51
"California","2000",33987977,294.22
"California","2001",34479458,290.03
"California","2002",34871843,286.76
"California","2003",35253159,283.66
"California","2004",35574576,281.1
"California","2005",35827943,279.11
"California","2006",36021202,277.61
"California","2007",36250311,275.86
"California","2008",36604337,273.19
"California","2009",36961229,270.55
"Colorado","1991",3387119,2952.36
"Colorado","1992",3495939,2860.46
"Colorado","1993",3613734,2767.22
"Colorado","1994",3724168,2685.16
"Colorado","1995",3826653,2613.25
"Colorado","1996",3919972,2551.04
"Colorado","1997",4018293,2488.62
"Colorado","1998",4116639,2429.17
"Colorado","1999",4226018,2366.29
"Colorado","2000",4326921,2311.11
"Colorado","2001",4425687,2259.54
"Colorado","2002",4490406,2226.97
"Colorado","2003",4528732,2208.12
"Colorado","2004",4575013,2185.79
"Colorado","2005",4631888,2158.95
"Colorado","2006",4720423,2118.45
"Colorado","2007",4803868,2081.66
"Colorado","2008",4889730,2045.1
"Colorado","2009",4972195,2011.18
"Connecticut","1991",3302895,3027.65
"Connecticut","1992",3300712,3029.65
"Connecticut","1993",3309175,3021.9
"Connecticut","1994",3316121,3015.57
"Connecticut","1995",3324144,3008.29
"Connecticut","1996",3336685,2996.99
"Connecticut","1997",3349348,2985.66
"Connecticut","1998",3365352,2971.46
"Connecticut","1999",3386401,2952.99
"Connecticut","2000",3411777,2931.02
"Connecticut","2001",3432835,2913.04
"Connecticut","2002",3458749,2891.22
"Connecticut","2003",3484336,2869.99
"Connecticut","2004",3496094,2860.33
"Connecticut","2005",3506956,2851.48
"Connecticut","2006",3517460,2842.96
"Connecticut","2007",3527270,2835.05
"Connecticut","2008",3545579,2820.41
"Connecticut","2009",3561807,2807.56
"Delaware","1991",683080,14639.57
"Delaware","1992",694925,14390.04
"Delaware","1993",706378,14156.73
"Delaware","1994",717545,13936.41
"Delaware","1995",729734,13703.62
"Delaware","1996",740977,13495.7
"Delaware","1997",751487,13306.95
"Delaware","1998",763335,13100.41
"Delaware","1999",774990,12903.39
"Delaware","2000",786373,12716.61
"Delaware","2001",795699,12567.57
"Delaware","2002",806169,12404.35
"Delaware","2003",818003,12224.89
"Delaware","2004",830803,12036.55
"Delaware","2005",845150,11832.22
"Delaware","2006",859268,11637.81
"Delaware","2007",871749,11471.19
"Delaware","2008",883874,11313.83
"Delaware","2009",891730,11214.16
"District of Columbia","1991",600870,16642.53
"District of Columbia","1992",597565,16734.58
"District of Columbia","1993",595301,16798.22
"District of Columbia","1994",589239,16971.04
"District of Columbia","1995",580517,17226.02
"District of Columbia","1996",572377,17471
"District of Columbia","1997",567736,17613.82
"District of Columbia","1998",565230,17691.91
"District of Columbia","1999",570213,17537.31
"District of Columbia","2000",572046,17481.11
"District of Columbia","2001",574504,17406.32
"District of Columbia","2002",573158,17447.2
"District of Columbia","2003",568502,17590.09
"District of Columbia","2004",567754,17613.26
"District of Columbia","2005",567136,17632.46
"District of Columbia","2006",570681,17522.92
"District of Columbia","2007",574404,17409.35
"District of Columbia","2008",580236,17234.37
"District of Columbia","2009",592228,16885.39
"Florida","1991",13369798,747.95
"Florida","1992",13650553,732.57
"Florida","1993",13927185,718.02
"Florida","1994",14239444,702.27
"Florida","1995",14537875,687.86
"Florida","1996",14853360,673.25
"Florida","1997",15186304,658.49
"Florida","1998",15486559,645.72
"Florida","1999",15759421,634.54
"Florida","2000",16047515,623.15
"Florida","2001",16356966,611.36
"Florida","2002",16689370,599.18
"Florida","2003",17004085,588.09
"Florida","2004",17415318,574.21
"Florida","2005",17842038,560.47
"Florida","2006",18166990,550.45
"Florida","2007",18367842,544.43
"Florida","2008",18527305,539.74
"Florida","2009",18652644,536.12
"Georgia","1991",6653005,1503.08
"Georgia","1992",6817203,1466.88
"Georgia","1993",6978240,1433.03
"Georgia","1994",7157165,1397.2
"Georgia","1995",7328413,1364.55
"Georgia","1996",7501069,1333.14
"Georgia","1997",7685099,1301.22
"Georgia","1998",7863536,1271.69
"Georgia","1999",8045965,1242.86
"Georgia","2000",8227303,1215.47
"Georgia","2001",8377038,1193.74
"Georgia","2002",8508256,1175.33
"Georgia","2003",8622793,1159.72
"Georgia","2004",8769252,1140.35
"Georgia","2005",8925922,1120.33
"Georgia","2006",9155813,1092.2
"Georgia","2007",9349988,1069.52
"Georgia","2008",9504843,1052.1
"Georgia","2009",9620846,1039.41
"Hawaii","1991",1136754,8796.98
"Hawaii","1992",1158613,8631.01
"Hawaii","1993",1172838,8526.33
"Hawaii","1994",1187536,8420.8
"Hawaii","1995",1196854,8355.24
"Hawaii","1996",1203755,8307.34
"Hawaii","1997",1211640,8253.28
"Hawaii","1998",1215233,8228.87
"Hawaii","1999",1210300,8262.41
"Hawaii","2000",1213519,8240.5
"Hawaii","2001",1225948,8156.95
"Hawaii","2002",1239613,8067.03
"Hawaii","2003",1251154,7992.62
"Hawaii","2004",1273569,7851.95
"Hawaii","2005",1292729,7735.57
"Hawaii","2006",1309731,7635.16
"Hawaii","2007",1315675,7600.66
"Hawaii","2008",1332213,7506.31
"Hawaii","2009",1346717,7425.47
"Idaho","1991",1041316,9603.23
"Idaho","1992",1071685,9331.1
"Idaho","1993",1108768,9019.02
"Idaho","1994",1145140,8732.56
"Idaho","1995",1177322,8493.85
"Idaho","1996",1203083,8311.98
"Idaho","1997",1228520,8139.88
"Idaho","1998",1252330,7985.12
"Idaho","1999",1275674,7838.99
"Idaho","2000",1299430,7695.68
"Idaho","2001",1319962,7575.98
"Idaho","2002",1340372,7460.62
"Idaho","2003",1363380,7334.71
"Idaho","2004",1391802,7184.93
"Idaho","2005",1428241,7001.62
"Idaho","2006",1468669,6808.89
"Idaho","2007",1505105,6644.05
"Idaho","2008",1534320,6517.55
"Idaho","2009",1554439,6433.19
"Illinois","1991",11568964,864.38
"Illinois","1992",11694184,855.13
"Illinois","1993",11809579,846.77
"Illinois","1994",11912585,839.45
"Illinois","1995",12008437,832.75
"Illinois","1996",12101997,826.31
"Illinois","1997",12185715,820.63
"Illinois","1998",12271847,814.87
"Illinois","1999",12359020,809.13
"Illinois","2000",12434161,804.24
"Illinois","2001",12488445,800.74
"Illinois","2002",12525556,798.37
"Illinois","2003",12556006,796.43
"Illinois","2004",12589773,794.3
"Illinois","2005",12609903,793.03
"Illinois","2006",12643955,790.89
"Illinois","2007",12695866,787.66
"Illinois","2008",12747038,784.5
"Illinois","2009",12796778,781.45
